Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
F_bin_250894	47066	10324	148	76329	3689	14	319743	18460	10151	24561	40	58	573	44837	8111	30135	45	1055994	255	701	1659	28579	16	834766	17909	23469518	128343	6077	21680	20	49720	44655	13506	174	11970	5050	700220	582	260	96	432466	74248	21135	18292	0	24	95	215330
K_bin_25	480	72978	24220	2104	2689	56	82085	5679	136	4205	0	2	820	233	21421	25298	0	88212	10	74	1018	192508	82	47771	6244	2793373	157774	3798	2155	43570	201892	42834	30616	135	37	0	759179	19212	2	63	1758	30757	68	190	0	4	0	10425
F_bin_146338	15	199	22	302	5293	0	14369	1100	1	11950	4	6	0	75	2	54133	0	12603	0	0	440	2	0	11	0	86	7947	47	0	0	7	414	0	44	3850	0	4217	0	0	0	130	6660	5422	1669	0	6	19	1088
F_bin_398	263	47	9	785	14846	0	126178	8224	198	1535	3	2	0	351	45	158411	0	137580	0	0	102	50	0	206	17	13769	1851	4322	408	2	172	60513	55	8	45293	23	39988	2	0	0	435	2470	860	810	0	6	366	15856
F_bin_213245	0	30	5	3227	36836	0	413433	16467	0	4160	2	766	0	744	59	759957	0	934317	12	0	222	4	2	22	0	183	1317	507	46	0	18	3925	1	7	5571	0	58057	0	4	2	2805	3951	2737	432023	0	8	27	54753
F_bin_268207	0	220	120	14179	11463	0	365453	18170	0	69895	24	25	0	2693	132	116813	0	65578	55	0	3348	2	0	14	2	8	6427	8170	1	0	2	67323	71	70	37046	0	111734	0	17	0	10227	58942	12740	9011	0	24	290	5067
M_bin_34858	2	3357	984	1444978	204920	0	1971401	100629	68	580291	3188	3287	14	521215	774	2644668	0	314952	801	1	24699	121	4	104	6	49	252749	128206	531	6	37	1575959	636	1013	341985	103	592342	10	3062	4	129733	525474	1139623	1077618	0	1609	2488	27475
D_bin_75949	39	5861	510	147122	102793	2	582292	37637	100	257815	1448	717	24	26671	287	926895	0	2805450	794	2	14636	72	0	165	4	1444	480130	78261	126	0	68	609080	444	1970	497847	26	191105	26	263	2	119310	242973	583713	320483	0	94	4058	259308
F_bin_297164	0	305	512	132447	4410	0	897854	56062	102	410394	599	346	7	37088	309	45033	0	517432	202	4	19625	22	0	66	0	27	13973	47326	443	2	39	372298	173	94	295773	0	303311	6	319	0	27653	290483	345373	228925	0	69	2668	45415
D_bin_78969	0	1172	672	433532	78982	0	747202	46870	45	417639	498	515	5	11405	222	907374	0	910147	131	2	25972	19	2	28	2	284	51999	20574	358	2	24	135878	115	484	383436	0	270501	17	125	0	14176	387469	178684	264842	0	325	3330	89271
F_bin_1530	0	111	8	3761	12459	0	39615	2922	46	12396	34	11	0	1044	3	121416	0	166582	43	0	421	8	0	4	0	34	5970	5444	19	0	33	45255	39	21	11192	0	8525	0	4	0	6009	7413	23422	2836	0	0	115	14228
F_bin_214435	0	213	70	23229	26349	0	181321	12253	8	42249	123	21	0	16687	71	259161	0	250284	58	0	2019	2	0	14	0	92	14261	6425	0	0	2	52625	46	108	54113	0	52808	0	155	0	6933	31433	68202	7342	0	25	460	21314
F_bin_239230	0	117	68	98299	698	0	36574	2059	6	49942	8	1	0	566	9	6571	0	21431	11	0	2677	61	0	4	0	9	5180	5263	19	0	81	48396	40	60	2617	0	13011	0	4	0	1739	40083	3628	2249	0	87	38	1545
F_bin_281737	63	15351	4094	5042559	205411	12	2559686	131440	156	2460620	3076	7307	41	290589	683	2321319	0	5169357	1191	34	125399	138	26	340	33	2032	529144	172810	1466	10	175	1397787	1234	4273	2345570	48	672543	57	2381	18	165560	2663005	1139224	3614917	0	5307	19531	378359
F_bin_253048	0	1110	79	146370	135451	0	1021927	61805	2	59671	185	150	0	16182	296	1463687	0	3171725	412	0	3047	30	0	106	0	127	48043	20599	20	0	17	173127	185	328	59282	28	250497	5	143	0	70646	56601	64192	60286	0	156	577	246800
M_bin_52274	0	4575	1701	2053042	51542	0	1893264	107530	38	718947	1174	1722	23	364690	685	484067	0	2395108	763	10	45433	56	2	68	10	243	175534	77914	272	0	36	482611	513	1708	277441	2	647330	6	3303	8	110552	909586	430471	636089	1	1591	2627	180264
M_bin_9657	0	5830	2285	1342185	392051	2	4454940	264185	54	1185331	3071	2390	35	126663	1547	1793053	0	3861973	1227	26	58293	138	2	104	6	155	175369	239401	441	2	89	996819	1172	1829	2095801	10	1337678	44	1112	6	161349	1172909	911377	1028000	0	1272	18835	255246
M_bin_58421	0	5485	3475	829289	58601	0	4178242	266953	120	1699093	3058	885	32	150837	1629	632215	0	1879642	457	18	90880	660	4	488	269	8189	199571	85821	434	77	667	581267	713	2565	760909	700	1376714	33	1359	10	68040	1712605	1178560	340007	0	731	5862	111826
F_bin_123998	6	339	180	24824	11300	0	130578	7363	20	127506	294	50	4	6715	31	98896	0	91790	73	0	6269	125	0	6	0	15	13572	13732	194	0	1103	85841	95	141	99167	0	35539	2	20	0	13184	93754	117747	11503	0	26	791	7033
D_bin_101864	32	2023	411	147559	23272	0	223572	13734	107	272363	318	388	1	34906	64	258777	0	1237792	124	4	13124	29	0	20	0	135	170013	22759	444	4	28	184044	86	677	359915	354	47671	3	398	0	11676	178122	125038	150808	0	141	2595	94813
F_bin_124563	0	387	75	38348	27314	0	250701	11633	31	57032	166	61	2	18895	55	323053	0	220243	60	0	2774	16	0	16	0	170	11433	10609	95	0	11	83684	68	107	65399	172	59522	2	158	2	9027	41532	81136	26430	0	51	555	15504
F_bin_164995	0	44	12	3273	3090	0	35130	1643	5	10393	33	16	0	1516	14	39361	0	139377	7	0	424	0	0	6	0	56	1967	998	0	0	4	9958	6	5	13669	0	9421	0	10	0	1785	7047	21418	5389	0	1	114	10604
F_bin_219469	0	67	29	6509	4496	0	42692	2405	10	22130	20	12	0	2172	13	47879	0	173975	24	0	937	2	0	4	0	62	2714	2868	14	4	6	16982	40	29	20729	0	8402	2	21	2	2224	14834	12289	4505	0	6	238	12201
F_bin_415	0	82	51	11730	2284	0	135275	6397	6	43611	68	0	0	2936	30	22799	0	80055	46	0	1850	10	0	14	0	5	2712	6848	0	0	0	45216	38	15	26111	12	28000	0	36	2	5730	29956	44021	3502	0	7	214	5281
F_bin_53850	114822	16	28	435650	521	4	20778	775	104218	2758	207	30	0	82787	15	6632	0	40382	46	0	151	2325	258	238	4269	895	2036	1765	38945	12	20552	31261	22	8	547	377	6252	0	311	363	186506	8606	105313	12955	0	85	2	5628
F_bin_130387	3	110	18	5658	8946	0	20848	8184	20	22891	104	79	0	6190	34	19641	0	28331	12	0	1192	4	0	27	2	371	785	5361	21	0	8	28791	19	26	6503	0	2939	0	71	0	1596	5317	75408	49608	0	26	222	4231
F_bin_235402	9219	0	91	129	1608	2	13857	1819	2608	185187	14	8	0	44737	4	20908	59	5601	0	0	4266	2276	6	469	2	116	69	3279	2515	0	12344	85085	14	2	27281	7989	812	5	220	12	514	118111	5705	7454	0	2	522	510
F_bin_224122	0	252	128	233567	17139	1	270443	16312	18	40843	115	62	2	36586	148	144908	0	173412	40	2	1918	8	1	17	0	94	18240	2941	6	1	10	34239	32	92	50485	0	121469	4	188	0	7820	48337	59403	53280	0	121	472	13362
F_bin_158131	0	106	200	119169	12129	0	108850	6926	4	91042	226	44	4	52094	62	104256	0	216738	298	0	3426	9	2	32	2	181	5993	16740	40	0	6	172162	162	34	89133	0	40683	0	254	0	57304	83052	110425	37279	0	67	772	18463
F_bin_258476	0	60	44	54265	12923	0	3676	235	24	18731	277	399	0	7535	2	134087	0	130151	35	2	700	14	0	4	0	123	3900	12613	48	0	2	184747	103	0	23589	0	1319	0	25	0	5643	18676	232693	305184	0	10	247	8835
F_bin_145177	10	10	20	3558	2327	0	3120	374	67	15066	6	16	0	1095	16	10637	0	259873	2	0	705	25	0	592	21	29696	281	329	300	0	65	1985	9	2	2042	0	1065	0	7	0	824	8762	5394	11691	0	4	46	33361
F_bin_24039	0	5	4	1158	663	0	1774	238	28	4771	55	118	0	2177	8	3030	0	12835	4	0	258	2	0	4	0	29	50	297	318	0	24	1275	0	0	969	0	285	0	29	0	194	3314	36083	79528	0	0	22	1058
F_bin_165154	32	64	98	30112	5183	0	28394	3261	71	47345	71	186	2	3861	19	23758	0	331685	18	0	2632	22	0	175	0	644	1335	1850	1869	0	133	6517	6	14	9167	0	3506	0	71	0	2729	40681	41684	99755	0	34	243	30243
F_bin_275946	42	420	568	42778	57368	0	245449	12335	100	382447	248	340	5	48012	123	891420	0	875940	106	0	19223	31	0	107	12	2683	22612	11964	334	0	203	171563	77	234	50498	14	95429	6	254	0	19782	308504	246203	342507	0	43	504	73524
F_bin_354	167	68	22	18918	493	0	146562	10848	46	22668	28	0	0	141	64	4449	0	41060	23	0	1165	33	0	89	0	204	1972	8023	238	0	112	102323	46	24	257	0	30141	2	0	0	4262	18353	30314	564	0	12	3	4727
F_bin_299478	1	139	234	223611	7444	0	466371	35711	2	139331	17	9	0	1763	163	66933	0	37109	43	0	9168	2	0	24	0	34	6901	7653	16	0	0	42658	32	30	9777	0	90849	0	36	0	11020	134106	11850	4200	0	216	138	2702
F_bin_191915	0	522	217	54251	17330	0	498029	38881	34	168760	432	148	4	38045	193	144970	0	671620	303	6	11040	21	0	132	0	416	12584	49096	114	0	8	234968	170	147	209395	0	90427	11	486	2	46686	189366	264311	62719	0	50	2800	46791
F_bin_10249	0	309	44	6357	2512	0	27773	1971	14	20011	6	78	0	10771	5	24124	0	60727	42	0	1089	2	0	46	0	578	6499	7352	44	0	77	32204	24	92	19291	0	3457	2	105	0	4996	23381	4283	29846	0	4	226	5757
F_bin_123672	4	74	32	109	394	0	10788	1037	29	31218	20	2	0	1086	2	6573	0	18167	0	0	1056	106	0	8	0	108	644	2298	287	0	1318	52393	8	38	8686	32	767	0	6	0	108	10435	17487	968	0	0	167	4554
F_bin_132068	0	46	35	476	903	0	53244	5228	0	47870	0	4	0	333	14	9477	0	4134	0	0	1882	0	0	14	0	7	476	4895	18	0	14	53641	8	4	884	0	14449	2	0	0	189	21560	1870	1180	0	0	7	309
F_bin_2267	0	14	11	3787	1502	0	21822	1670	0	10452	44	20	0	2783	6	17596	0	32602	2	0	373	0	0	2	0	22	249	2740	6	0	2	28011	12	2	15080	0	4553	0	20	0	179	4894	47498	26427	0	12	163	2041
F_bin_110336	58	27	130	5669	3989	0	21844	1278	51	47401	64	85	2	10163	2	53395	2	22012	12	0	2393	28	0	61	3	301	972	936	79	0	56	12542	7	27	17587	29	2502	1	60	0	3543	42564	25666	46336	0	10	163	1568
F_bin_111749	0	25	170	25252	111	0	90142	5159	16	29091	10	196	0	7427	81	1430	0	7834	107	2	5029	10	0	8	20	20	237	6238	144	4	0	47061	18	1	2713	0	31568	0	103	2	5424	40391	3971	77409	0	95	32	685
M_bin_38915	26367	48	7720	2406	17856	16	267529	17831	249461	2816915	395	805	4	100864	32	181736	0	136380	54	5	96540	18551	226	3260	86	2839	6506	31138	989753	11	93729	346367	167	10	709253	560968	14560	28	564	34	3485	4311201	305681	503993	2	86	4914	6009
F_bin_212208	4336	6	386	565	1806	0	32275	1911	18200	201390	45	62	0	14148	1	18028	0	10386	2	2	6303	3071	22	850	4	471	1936	3694	80010	5	9198	44555	28	4	73408	24589	3334	5	71	9	1035	268960	23843	34034	0	0	433	469
F_bin_191654	58719	556	1	3265	119	0	2236	145	6003	793	11	2	513	15277	3	1122	0	1475	64	6	24	59	36	1697449	4968	349	13583	83	129	0	2736	787	0	49	2958	2229	4492	0	60	252	146859	571	3196	699	0	12	15	112
F_bin_186448	3698	453	295	13811	4750	16	47567	2991	25360	467480	102	265	0	38931	6	44504	0	434244	6	0	7395	2396	58	2089	26	5797	41094	6310	65828	2	3254	93297	34	144	354944	109520	3787	0	331	18	3523	135174	82392	158247	0	12	2580	13896
F_bin_468	3255	941	316	16294	4262	42	28701	2644	30317	268244	157	365	0	26710	4	33290	0	298148	2	4	3893	3490	77	1006	59	1306	88600	5579	69481	0	5024	91503	40	238	283645	135021	3077	2	219	9	1216	95435	71018	156418	0	8	2409	8311
F_bin_157399	11174	218	405	6248	8686	57	5874	894	46062	82869	444	344	43	14359	25	44870	0	13205	43	24	2679	2079	197	458	80	29	10804	1883	98767	47	32299	40231	48	93	119982	34832	1160	33	262	65	288	99737	105563	99304	0	35	1627	448
D_bin_40485	451315	4001	4482	62686	56647	1011	71223	8780	705579	1049773	4437	2892	12	238044	54	439521	2	107443	97	15	38554	43576	8172	10044	774	7627	118193	14979	4228037	193	685680	378787	86	1851	358516	164599	38391	48	2772	2075	5581	1340559	1417251	1168421	0	73	12474	5897
F_bin_211393	2668	75	54	1365	3285	14	936	80	30586	21367	189	157	0	2567	0	29831	0	1375	0	0	595	288	131	44	4	10	3629	201	68955	8	49034	5335	0	39	8608	9106	227	3	28	13	23	28987	63399	50990	0	0	178	55
F_bin_11658	7964	158	186	2998	3572	26	2710	239	38575	62154	267	202	0	7487	0	31719	0	2837	2	2	1449	979	175	132	2	9	6052	696	154138	10	33664	14037	0	50	23854	22103	805	2	90	26	62	80672	102469	68855	0	0	636	60
F_bin_297819	0	994	592	83057	19707	0	132233	8629	26	348573	220	288	0	4472	36	185657	0	307930	133	2	20261	6	0	212	6	1979	16364	10795	176	0	180	58616	51	346	47510	0	34908	14	51	2	28248	502815	66758	71218	0	139	786	37308
F_bin_118177	0	329	155	12841	13346	0	153040	8002	12	73867	158	64	0	12940	50	113876	0	85694	14	0	4048	2	0	39	2	363	8285	5456	364	0	15	32053	20	101	28050	4	26786	0	189	0	2757	62427	75556	44257	0	12	267	7219
F_bin_121093	6	773	56	41420	8267	0	82632	5782	43	43776	132	172	2	3705	46	56185	0	1016636	18	2	1836	8	0	105	4	3605	11962	2996	161	0	45	22845	17	223	128807	12	8070	2	52	0	3776	29784	65909	72279	0	58	936	69084
F_bin_288251	0	32	23	2828	1153	0	3350	339	8	6975	53	142	0	2172	1	5670	0	4392	2	0	320	6	2	6	0	23	801	301	53	0	5	3930	0	16	76681	0	835	0	22	0	441	5472	19278	72511	0	10	1094	489
D_bin_51985	16294	132	367	12465	7224	2	45388	5864	31337	335637	167	295	2	50762	8	49348	0	129014	4	0	9868	1707	38	762	21	1616	16162	10707	39267	0	8328	155492	16	52	201018	65506	4365	10	339	20	1570	356223	112591	227352	0	0	1599	4867
D_bin_78273	27296	171	2422	7382	10010	58	59007	6193	43653	353477	256	622	0	62515	24	57956	0	12633	14	2	15312	5473	236	1645	86	63	19041	12961	360667	14	13177	155201	81	28	458832	85247	9116	0	568	162	1984	339256	78158	204866	0	6	3947	312
F_bin_8868	1202	20	216	421	583	2	7535	591	7165	42368	22	34	0	6943	0	4176	0	1892	0	0	1245	246	29	204	0	21	1887	1455	16500	0	705	41501	4	4	51721	11258	1206	0	45	8	180	36221	12297	18125	0	0	584	81
F_bin_285008	740	13	159	463	388	4	3926	319	26810	43654	116	195	0	1755	1	2938	0	4826	0	0	1372	149	67	116	4	151	626	457	64335	0	1144	7741	0	3	15898	6771	433	0	10	2	107	56763	36604	83442	0	0	112	264
F_bin_187888	1955	35	477	1832	2410	10	22284	2307	36014	128673	70	66	0	16047	4	20451	0	9981	0	0	4894	953	45	209	4	18	4083	3734	69236	0	3789	81954	24	5	50037	16219	3400	0	61	2	297	187511	54550	62421	0	0	473	351
F_bin_224835	1224	42	83	575	2861	0	7504	620	25068	72927	114	116	4	6908	0	14383	0	5983	0	0	1725	367	30	173	0	75	4168	1672	59033	0	2934	25643	2	14	51496	10536	497	0	69	12	304	89179	43690	53521	0	0	445	148
D_bin_96977	75548	932	5186	13067	86905	261	194577	27824	621862	2307047	766	1558	2	265839	35	519926	0	191274	10	0	77179	45096	1273	3417	138	1180	94154	42094	942410	58	627106	1013909	159	341	378317	215941	27122	20	1049	252	4614	5111051	1114760	1268072	0	22	4735	11185
F_bin_284614	37793	391	3238	22993	8394	50	90713	6295	224772	711441	512	1010	0	103707	25	77690	0	90959	10	2	21145	4115	260	1189	58	723	68982	16341	588260	4	23099	340541	87	45	316098	268411	14367	4	370	55	727	1072150	268552	501396	0	11	2588	2195
F_bin_84615	28479	178	2404	7436	7920	41	53674	3848	161311	452133	351	622	4	79288	26	66900	0	40913	2	0	15532	3430	184	957	24	96	35949	10377	433193	10	27148	245849	69	44	260850	201483	8942	0	211	74	605	714623	211069	316268	0	20	1768	1229
F_bin_158995	44	4	668	7894	5251	0	1181	49	50	93921	59	520	6	44872	0	53312	0	16263	2	1	22361	197	0	9	2	131	475	420	618	0	405	5784	8	2	22418	27	271	4	538	0	68	59004	20897	233742	0	2	179	1561
F_bin_241034	8	129	398	13908	843	0	14539	865	88	72739	56	24	0	5012	33	8337	0	166588	177	4	8597	34	2	63	0	2337	7193	5079	274	0	19	49483	32	84	121247	270	5548	2	45	0	11243	42393	19415	21063	0	22	926	14698
F_bin_241082	278	0	2	6074	355	0	1782	88	48	101	0	4	0	624	0	4228	0	66351	4	0	11	7	0	27	0	518	8	23	296	0	6	135	0	0	1677	0	363	0	4	2	272	83	2043	1966	0	2	22	5679
D_bin_43708	48	359	0	35	34	0	350	32	3	16	0	0	0	28	4	200	0	221202	0	0	0	359	0	106	8	446089	5621	48	27	0	1099	859	1	8	5	0	1432	29	0	0	74	19	10	19	0	0	0	15528
